,MTU (CET),Day-ahead Price [EUR/MWh],Hours
0,01.01.2019 00:00 - 01.01.2019 01:00,28.32,0
1,01.01.2019 01:00 - 01.01.2019 02:00,10.07,1
2,01.01.2019 02:00 - 01.01.2019 03:00,-4.08,2
3,01.01.2019 03:00 - 01.01.2019 04:00,-9.91,3
4,01.01.2019 04:00 - 01.01.2019 05:00,-7.41,4
5,01.01.2019 05:00 - 01.01.2019 06:00,-12.55,5
6,01.01.2019 06:00 - 01.01.2019 07:00,-17.25,6
7,01.01.2019 07:00 - 01.01.2019 08:00,-15.07,7
8,01.01.2019 08:00 - 01.01.2019 09:00,-4.93,8
9,01.01.2019 09:00 - 01.01.2019 10:00,-6.33,9
10,01.01.2019 10:00 - 01.01.2019 11:00,-4.93,10
11,01.01.2019 11:00 - 01.01.2019 12:00,0.45,11
12,01.01.2019 12:00 - 01.01.2019 13:00,0.12,12
13,01.01.2019 13:00 - 01.01.2019 14:00,-0.02,13
14,01.01.2019 14:00 - 01.01.2019 15:00,0.0,14
15,01.01.2019 15:00 - 01.01.2019 16:00,-0.03,15
16,01.01.2019 16:00 - 01.01.2019 17:00,1.97,16
17,01.01.2019 17:00 - 01.01.2019 18:00,9.06,17
18,01.01.2019 18:00 - 01.01.2019 19:00,0.07,18
19,01.01.2019 19:00 - 01.01.2019 20:00,-4.97,19
20,01.01.2019 20:00 - 01.01.2019 21:00,-6.98,20
21,01.01.2019 21:00 - 01.01.2019 22:00,-24.93,21
22,01.01.2019 22:00 - 01.01.2019 23:00,-4.87,22
23,01.01.2019 23:00 - 02.01.2019 00:00,-28.93,23
24,02.01.2019 00:00 - 02.01.2019 01:00,-33.57,0
25,02.01.2019 01:00 - 02.01.2019 02:00,-45.92,1
26,02.01.2019 02:00 - 02.01.2019 03:00,-48.29,2
27,02.01.2019 03:00 - 02.01.2019 04:00,-44.99,3
28,02.01.2019 04:00 - 02.01.2019 05:00,-48.93,4
29,02.01.2019 05:00 - 02.01.2019 06:00,-29.91,5
30,02.01.2019 06:00 - 02.01.2019 07:00,-0.01,6
31,02.01.2019 07:00 - 02.01.2019 08:00,37.43,7
32,02.01.2019 08:00 - 02.01.2019 09:00,48.06,8
33,02.01.2019 09:00 - 02.01.2019 10:00,50.74,9
34,02.01.2019 10:00 - 02.01.2019 11:00,47.57,10
35,02.01.2019 11:00 - 02.01.2019 12:00,43.94,11
36,02.01.2019 12:00 - 02.01.2019 13:00,40.97,12
37,02.01.2019 13:00 - 02.01.2019 14:00,44.95,13
38,02.01.2019 14:00 - 02.01.2019 15:00,49.64,14
39,02.01.2019 15:00 - 02.01.2019 16:00,53.67,15
40,02.01.2019 16:00 - 02.01.2019 17:00,56.01,16
41,02.01.2019 17:00 - 02.01.2019 18:00,56.95,17
42,02.01.2019 18:00 - 02.01.2019 19:00,62.08,18
43,02.01.2019 19:00 - 02.01.2019 20:00,62.11,19
44,02.01.2019 20:00 - 02.01.2019 21:00,57.99,20
45,02.01.2019 21:00 - 02.01.2019 22:00,55.64,21
46,02.01.2019 22:00 - 02.01.2019 23:00,55.13,22
47,02.01.2019 23:00 - 03.01.2019 00:00,50.76,23
48,03.01.2019 00:00 - 03.01.2019 01:00,42.91,0
49,03.01.2019 01:00 - 03.01.2019 02:00,45.22,1
50,03.01.2019 02:00 - 03.01.2019 03:00,45.63,2
51,03.01.2019 03:00 - 03.01.2019 04:00,44.0,3
52,03.01.2019 04:00 - 03.01.2019 05:00,43.88,4
53,03.01.2019 05:00 - 03.01.2019 06:00,45.92,5
54,03.01.2019 06:00 - 03.01.2019 07:00,51.07,6
55,03.01.2019 07:00 - 03.01.2019 08:00,52.77,7
56,03.01.2019 08:00 - 03.01.2019 09:00,62.89,8
57,03.01.2019 09:00 - 03.01.2019 10:00,60.03,9
58,03.01.2019 10:00 - 03.01.2019 11:00,58.19,10
59,03.01.2019 11:00 - 03.01.2019 12:00,62.99,11
60,03.01.2019 12:00 - 03.01.2019 13:00,63.52,12
61,03.01.2019 13:00 - 03.01.2019 14:00,64.67,13
