,Time (CET),Day-ahead Total Load Forecast [MW] - BZN|DE-LU,Actual Total Load [MW] - BZN|DE-LU,Imbalance [MW],Quarter
0,01.01.2019 00:00 - 01.01.2019 00:15,44202.0,43289.0,-913.0,0
1,01.01.2019 00:15 - 01.01.2019 00:30,43988.0,43113.0,-875.0,1
2,01.01.2019 00:30 - 01.01.2019 00:45,43433.0,42931.0,-502.0,2
3,01.01.2019 00:45 - 01.01.2019 01:00,42889.0,42976.0,87.0,3
4,01.01.2019 01:00 - 01.01.2019 01:15,42374.0,42383.0,9.0,4
5,01.01.2019 01:15 - 01.01.2019 01:30,41868.0,42144.0,276.0,5
6,01.01.2019 01:30 - 01.01.2019 01:45,41341.0,41598.0,257.0,6
7,01.01.2019 01:45 - 01.01.2019 02:00,41068.0,40834.0,-234.0,7
8,01.01.2019 02:00 - 01.01.2019 02:15,40760.0,41322.0,562.0,8
9,01.01.2019 02:15 - 01.01.2019 02:30,40521.0,40504.0,-17.0,9
10,01.01.2019 02:30 - 01.01.2019 02:45,40485.0,39501.0,-984.0,10
11,01.01.2019 02:45 - 01.01.2019 03:00,40446.0,38994.0,-1452.0,11
12,01.01.2019 03:00 - 01.01.2019 03:15,40267.0,39337.0,-930.0,12
13,01.01.2019 03:15 - 01.01.2019 03:30,40218.0,39211.0,-1007.0,13
14,01.01.2019 03:30 - 01.01.2019 03:45,40287.0,38877.0,-1410.0,14
15,01.01.2019 03:45 - 01.01.2019 04:00,40273.0,38739.0,-1534.0,15
16,01.01.2019 04:00 - 01.01.2019 04:15,40425.0,38714.0,-1711.0,16
17,01.01.2019 04:15 - 01.01.2019 04:30,40580.0,39400.0,-1180.0,17
18,01.01.2019 04:30 - 01.01.2019 04:45,40674.0,39402.0,-1272.0,18
19,01.01.2019 04:45 - 01.01.2019 05:00,40734.0,39199.0,-1535.0,19
20,01.01.2019 05:00 - 01.01.2019 05:15,41008.0,39226.0,-1782.0,20
21,01.01.2019 05:15 - 01.01.2019 05:30,40858.0,39208.0,-1650.0,21
22,01.01.2019 05:30 - 01.01.2019 05:45,40917.0,38904.0,-2013.0,22
23,01.01.2019 05:45 - 01.01.2019 06:00,40834.0,38551.0,-2283.0,23
24,01.01.2019 06:00 - 01.01.2019 06:15,40369.0,37666.0,-2703.0,24
25,01.01.2019 06:15 - 01.01.2019 06:30,40673.0,38170.0,-2503.0,25
26,01.01.2019 06:30 - 01.01.2019 06:45,40895.0,38254.0,-2641.0,26
27,01.01.2019 06:45 - 01.01.2019 07:00,41197.0,38200.0,-2997.0,27
28,01.01.2019 07:00 - 01.01.2019 07:15,41861.0,38570.0,-3291.0,28
29,01.01.2019 07:15 - 01.01.2019 07:30,42213.0,38662.0,-3551.0,29
30,01.01.2019 07:30 - 01.01.2019 07:45,43715.0,38634.0,-5081.0,30
31,01.01.2019 07:45 - 01.01.2019 08:00,44562.0,39057.0,-5505.0,31
32,01.01.2019 08:00 - 01.01.2019 08:15,45789.0,38923.0,-6866.0,32
33,01.01.2019 08:15 - 01.01.2019 08:30,45872.0,38981.0,-6891.0,33
34,01.01.2019 08:30 - 01.01.2019 08:45,46341.0,39248.0,-7093.0,34
35,01.01.2019 08:45 - 01.01.2019 09:00,46876.0,39468.0,-7408.0,35
36,01.01.2019 09:00 - 01.01.2019 09:15,48129.0,40519.0,-7610.0,36
37,01.01.2019 09:15 - 01.01.2019 09:30,49049.0,41663.0,-7386.0,37
38,01.01.2019 09:30 - 01.01.2019 09:45,49541.0,42118.0,-7423.0,38
39,01.01.2019 09:45 - 01.01.2019 10:00,49857.0,42352.0,-7505.0,39
40,01.01.2019 10:00 - 01.01.2019 10:15,50412.0,43254.0,-7158.0,40
41,01.01.2019 10:15 - 01.01.2019 10:30,51048.0,43987.0,-7061.0,41
42,01.01.2019 10:30 - 01.01.2019 10:45,51269.0,44513.0,-6756.0,42
43,01.01.2019 10:45 - 01.01.2019 11:00,52098.0,45051.0,-7047.0,43
44,01.01.2019 11:00 - 01.01.2019 11:15,52478.0,46219.0,-6259.0,44
45,01.01.2019 11:15 - 01.01.2019 11:30,53164.0,47325.0,-5839.0,45
46,01.01.2019 11:30 - 01.01.2019 11:45,53907.0,48384.0,-5523.0,46
47,01.01.2019 11:45 - 01.01.2019 12:00,54398.0,49038.0,-5360.0,47
48,01.01.2019 12:00 - 01.01.2019 12:15,53654.0,49550.0,-4104.0,48
49,01.01.2019 12:15 - 01.01.2019 12:30,53811.0,49318.0,-4493.0,49
50,01.01.2019 12:30 - 01.01.2019 12:45,53125.0,49325.0,-3800.0,50
51,01.01.2019 12:45 - 01.01.2019 13:00,52569.0,49258.0,-3311.0,51
52,01.01.2019 13:00 - 01.01.2019 13:15,51938.0,49156.0,-2782.0,52
53,01.01.2019 13:15 - 01.01.2019 13:30,51291.0,48645.0,-2646.0,53
54,01.01.2019 13:30 - 01.01.2019 13:45,51046.0,48457.0,-2589.0,54
55,01.01.2019 13:45 - 01.01.2019 14:00,50203.0,48763.0,-1440.0,55
56,01.01.2019 14:00 - 01.01.2019 14:15,50111.0,48734.0,-1377.0,56
57,01.01.2019 14:15 - 01.01.2019 14:30,49251.0,48359.0,-892.0,57
58,01.01.2019 14:30 - 01.01.2019 14:45,49491.0,48632.0,-859.0,58
59,01.01.2019 14:45 - 01.01.2019 15:00,49790.0,48438.0,-1352.0,59
60,01.01.2019 15:00 - 01.01.2019 15:15,49916.0,49121.0,-795.0,60
61,01.01.2019 15:15 - 01.01.2019 15:30,49333.0,48885.0,-448.0,61
62,01.01.2019 15:30 - 01.01.2019 15:45,49567.0,49356.0,-211.0,62
63,01.01.2019 15:45 - 01.01.2019 16:00,49494.0,49557.0,63.0,63
64,01.01.2019 16:00 - 01.01.2019 16:15,50110.0,50565.0,455.0,64
65,01.01.2019 16:15 - 01.01.2019 16:30,51032.0,50496.0,-536.0,65
66,01.01.2019 16:30 - 01.01.2019 16:45,51740.0,51429.0,-311.0,66
67,01.01.2019 16:45 - 01.01.2019 17:00,52000.0,52338.0,338.0,67
68,01.01.2019 17:00 - 01.01.2019 17:15,53324.0,53616.0,292.0,68
69,01.01.2019 17:15 - 01.01.2019 17:30,54001.0,54219.0,218.0,69
70,01.01.2019 17:30 - 01.01.2019 17:45,54805.0,54609.0,-196.0,70
71,01.01.2019 17:45 - 01.01.2019 18:00,54820.0,54992.0,172.0,71
72,01.01.2019 18:00 - 01.01.2019 18:15,55092.0,55078.0,-14.0,72
