"MTU (CET)","Generation - Solar  [MW] Day Ahead/ BZN|DE-AT-LU","Generation - Solar  [MW] Intraday / BZN|DE-AT-LU","Generation - Solar  [MW] Current / BZN|DE-AT-LU","Generation - Wind Offshore  [MW] Day Ahead/ BZN|DE-AT-LU","Generation - Wind Offshore  [MW] Intraday / BZN|DE-AT-LU","Generation - Wind Offshore  [MW] Current / BZN|DE-AT-LU","Generation - Wind Onshore  [MW] Day Ahead/ BZN|DE-AT-LU","Generation - Wind Onshore  [MW] Intraday / BZN|DE-AT-LU","Generation - Wind Onshore  [MW] Current / BZN|DE-AT-LU"
"01.01.2018 00:00 - 01.01.2018 00:15","0","0","","3417","13529","3156","28797","10837","9941"
"01.01.2018 00:15 - 01.01.2018 00:30","0","0","","3437","13295","2823","29092","11040","10430"
"01.01.2018 00:30 - 01.01.2018 00:45","0","0","","3453","13369","2840","29401","11241","10491"
"01.01.2018 00:45 - 01.01.2018 01:00","0","0","","3469","13488","2880","29688","11429","10598"
"01.01.2018 01:00 - 01.01.2018 01:15","0","0","","3318","13628","2736","29939","12115","11033"
"01.01.2018 01:15 - 01.01.2018 01:30","0","0","","3319","13854","2853","30171","12365","11320"
"01.01.2018 01:30 - 01.01.2018 01:45","0","0","","3319","13919","2875","30416","12551","11557"
"01.01.2018 01:45 - 01.01.2018 02:00","0","0","","3323","14097","2880","30717","12852","11757"
"01.01.2018 02:00 - 01.01.2018 02:15","0","0","","3329","14023","2875","31066","13071","11972"
"01.01.2018 02:15 - 01.01.2018 02:30","0","0","","3335","14019","2891","31375","13293","12271"
"01.01.2018 02:30 - 01.01.2018 02:45","0","0","","3344","13977","2912","31678","13368","12317"
"01.01.2018 02:45 - 01.01.2018 03:00","0","0","","3357","13944","2923","31964","13636","12660"
"01.01.2018 03:00 - 01.01.2018 03:15","0","0","","3366","13910","2902","32231","14082","13018"
"01.01.2018 03:15 - 01.01.2018 03:30","0","0","","3369","14004","2925","32459","14134","13165"
"01.01.2018 03:30 - 01.01.2018 03:45","0","0","","3375","14047","2914","32691","14240","13298"
"01.01.2018 03:45 - 01.01.2018 04:00","0","0","","3387","14101","2931","32972","14621","13616"
