"Time (CET)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"01.01.2019 00:00 - 01.01.2019 00:15","44202","43289"
"01.01.2019 00:15 - 01.01.2019 00:30","43988","43113"
"01.01.2019 00:30 - 01.01.2019 00:45","43433","42931"
"01.01.2019 00:45 - 01.01.2019 01:00","42889","42976"
"01.01.2019 01:00 - 01.01.2019 01:15","42374","42383"
"01.01.2019 01:15 - 01.01.2019 01:30","41868","42144"
"01.01.2019 01:30 - 01.01.2019 01:45","41341","41598"
"01.01.2019 01:45 - 01.01.2019 02:00","41068","40834"
"01.01.2019 02:00 - 01.01.2019 02:15","40760","41322"
"01.01.2019 02:15 - 01.01.2019 02:30","40521","40504"
"01.01.2019 02:30 - 01.01.2019 02:45","40485","39501"
"01.01.2019 02:45 - 01.01.2019 03:00","40446","38994"
"01.01.2019 03:00 - 01.01.2019 03:15","40267","39337"
"01.01.2019 03:15 - 01.01.2019 03:30","40218","39211"
"01.01.2019 03:30 - 01.01.2019 03:45","40287","38877"
"01.01.2019 03:45 - 01.01.2019 04:00","40273","38739"
"01.01.2019 04:00 - 01.01.2019 04:15","40425","38714"
"01.01.2019 04:15 - 01.01.2019 04:30","40580","39400"
"01.01.2019 04:30 - 01.01.2019 04:45","40674","39402"
"01.01.2019 04:45 - 01.01.2019 05:00","40734","39199"
"01.01.2019 05:00 - 01.01.2019 05:15","41008","39226"
"01.01.2019 05:15 - 01.01.2019 05:30","40858","39208"
"01.01.2019 05:30 - 01.01.2019 05:45","40917","38904"
"01.01.2019 05:45 - 01.01.2019 06:00","40834","38551"
"01.01.2019 06:00 - 01.01.2019 06:15","40369","37666"
"01.01.2019 06:15 - 01.01.2019 06:30","40673","38170"
"01.01.2019 06:30 - 01.01.2019 06:45","40895","38254"
"01.01.2019 06:45 - 01.01.2019 07:00","41197","38200"
"01.01.2019 07:00 - 01.01.2019 07:15","41861","38570"
"01.01.2019 07:15 - 01.01.2019 07:30","42213","38662"
"01.01.2019 07:30 - 01.01.2019 07:45","43715","38634"
"01.01.2019 07:45 - 01.01.2019 08:00","44562","39057"
"01.01.2019 08:00 - 01.01.2019 08:15","45789","38923"
"01.01.2019 08:15 - 01.01.2019 08:30","45872","38981"
"01.01.2019 08:30 - 01.01.2019 08:45","46341","39248"
"01.01.2019 08:45 - 01.01.2019 09:00","46876","39468"
"01.01.2019 09:00 - 01.01.2019 09:15","48129","40519"
"01.01.2019 09:15 - 01.01.2019 09:30","49049","41663"
"01.01.2019 09:30 - 01.01.2019 09:45","49541","42118"
"01.01.2019 09:45 - 01.01.2019 10:00","49857","42352"
"01.01.2019 10:00 - 01.01.2019 10:15","50412","43254"
"01.01.2019 10:15 - 01.01.2019 10:30","51048","43987"
"01.01.2019 10:30 - 01.01.2019 10:45","51269","44513"
"01.01.2019 10:45 - 01.01.2019 11:00","52098","45051"
"01.01.2019 11:00 - 01.01.2019 11:15","52478","46219"
"01.01.2019 11:15 - 01.01.2019 11:30","53164","47325"
"01.01.2019 11:30 - 01.01.2019 11:45","53907","48384"
"01.01.2019 11:45 - 01.01.2019 12:00","54398","49038"
"01.01.2019 12:00 - 01.01.2019 12:15","53654","49550"
"01.01.2019 12:15 - 01.01.2019 12:30","53811","49318"
"01.01.2019 12:30 - 01.01.2019 12:45","53125","49325"
"01.01.2019 12:45 - 01.01.2019 13:00","52569","49258"
"01.01.2019 13:00 - 01.01.2019 13:15","51938","49156"
"01.01.2019 13:15 - 01.01.2019 13:30","51291","48645"
"01.01.2019 13:30 - 01.01.2019 13:45","51046","48457"
"01.01.2019 13:45 - 01.01.2019 14:00","50203","48763"
"01.01.2019 14:00 - 01.01.2019 14:15","50111","48734"
"01.01.2019 14:15 - 01.01.2019 14:30","49251","48359"
"01.01.2019 14:30 - 01.01.2019 14:45","49491","48632"
"01.01.2019 14:45 - 01.01.2019 15:00","49790","48438"
"01.01.2019 15:00 - 01.01.2019 15:15","49916","49121"
"01.01.2019 15:15 - 01.01.2019 15:30","49333","48885"
"01.01.2019 15:30 - 01.01.2019 15:45","49567","49356"
"01.01.2019 15:45 - 01.01.2019 16:00","49494","49557"
"01.01.2019 16:00 - 01.01.2019 16:15","50110","50565"
"01.01.2019 16:15 - 01.01.2019 16:30","51032","50496"
"01.01.2019 16:30 - 01.01.2019 16:45","51740","51429"
"01.01.2019 16:45 - 01.01.2019 17:00","52000","52338"
"01.01.2019 17:00 - 01.01.2019 17:15","53324","53616"
"01.01.2019 17:15 - 01.01.2019 17:30","54001","54219"
"01.01.2019 17:30 - 01.01.2019 17:45","54805","54609"
"01.01.2019 17:45 - 01.01.2019 18:00","54820","54992"
"01.01.2019 18:00 - 01.01.2019 18:15","55092","55078"
"01.01.2019 18:15 - 01.01.2019 18:30","55327","54825"
"01.01.2019 18:30 - 01.01.2019 18:45","55180","54813"
"01.01.2019 18:45 - 01.01.2019 19:00","55063","54835"
"01.01.2019 19:00 - 01.01.2019 19:15","54674","55246"
"01.01.2019 19:15 - 01.01.2019 19:30","54081","54557"
"01.01.2019 19:30 - 01.01.2019 19:45","53523","54292"
"01.01.2019 19:45 - 01.01.2019 20:00","53003","53585"
"01.01.2019 20:00 - 01.01.2019 20:15","52484","53184"
"01.01.2019 20:15 - 01.01.2019 20:30","51382","52808"
"01.01.2019 20:30 - 01.01.2019 20:45","50701","52056"
"01.01.2019 20:45 - 01.01.2019 21:00","50410","51492"
"01.01.2019 21:00 - 01.01.2019 21:15","49633","50947"
"01.01.2019 21:15 - 01.01.2019 21:30","49485","50246"
"01.01.2019 21:30 - 01.01.2019 21:45","50163","49999"
"01.01.2019 21:45 - 01.01.2019 22:00","49313","49868"
"01.01.2019 22:00 - 01.01.2019 22:15","49709","50615"
"01.01.2019 22:15 - 01.01.2019 22:30","49432","49641"
"01.01.2019 22:30 - 01.01.2019 22:45","48563","48947"
"01.01.2019 22:45 - 01.01.2019 23:00","47792","48224"
"01.01.2019 23:00 - 01.01.2019 23:15","46754","47694"
"01.01.2019 23:15 - 01.01.2019 23:30","46068","46780"
"01.01.2019 23:30 - 01.01.2019 23:45","45248","45904"
